X	C(X)	Mean of Collatz up to X
211	40	42.9857819905213
212	14	42.8490566037736
213	14	42.7136150234742
214	102	42.9906542056075
215	102	43.2651162790698
216	115	43.5972222222222
217	27	43.5207373271889
218	115	43.848623853211
219	53	43.8904109589041
220	115	44.2136363636364
221	115	44.5339366515837
222	71	44.6531531531532
223	71	44.7713004484305
224	22	44.6696428571429
225	53	44.7066666666667
226	14	44.570796460177
227	14	44.4361233480176
228	35	44.3947368421053
229	35	44.353711790393
230	35	44.3130434782609
231	128	44.6753246753247
232	22	44.5775862068966
233	84	44.7467811158798
234	22	44.6495726495726
235	128	45.0042553191489
236	35	44.9618644067797
237	35	44.9198312236287
238	35	44.8781512605042
239	53	44.9121338912134
240	22	44.8166666666667
241	22	44.7219917012448
242	97	44.9380165289256
243	97	45.1522633744856
244	22	45.0573770491803
245	22	44.9632653061225
246	48	44.9756097560976
247	48	44.9878542510121
248	110	45.25
249	48	45.2610441767068
250	110	45.52
251	66	45.601593625498
252	110	45.8571428571429
253	110	46.1106719367589
254	48	46.1181102362205
255	48	46.1254901960784
256	9	45.98046875
257	123	46.2801556420233
258	123	46.577519379845
259	123	46.8725868725869
260	30	46.8076923076923
261	30	46.7432950191571
262	30	46.6793893129771
263	79	46.8022813688213
264	30	46.7386363636364
265	123	47.0264150943396
266	30	46.9624060150376
267	22	46.8689138576779
268	30	46.8059701492537
269	30	46.7434944237918
270	43	46.7296296296296
271	43	46.7158671586716
272	17	46.6066176470588
273	30	46.5457875457875
274	92	46.7116788321168
275	92	46.8763636363636
276	17	46.768115942029
277	17	46.6606498194946
278	43	46.6474820143885
279	43	46.6344086021505
280	17	46.5285714285714
281	43	46.5160142348754
282	17	46.4113475177305
283	61	46.4628975265018
284	105	46.669014084507
285	105	46.8736842105263
286	105	47.0769230769231
287	43	47.0627177700348
288	25	46.9861111111111
289	30	46.9273356401384
290	118	47.1724137931034
291	118	47.4158075601375
292	118	47.6575342465753
293	118	47.8976109215017
294	118	48.1360544217687
295	56	48.1627118644068
296	25	48.0844594594595
297	74	48.1717171717172
298	25	48.0939597315436
299	118	48.3277591973244
300	17	48.2233333333333
301	17	48.1196013289037
302	17	48.0165562913907
303	43	48
304	25	47.9243421052632
305	38	47.8918032786885
306	38	47.859477124183
307	38	47.8273615635179
308	25	47.7532467532468
309	25	47.6796116504854
310	87	47.8064516129032
311	87	47.9324758842444
312	38	47.900641025641
313	131	48.1661341853035
314	38	48.1337579617834
315	38	48.1015873015873
316	38	48.0696202531646
317	38	48.0378548895899
318	56	48.062893081761
319	56	48.0877742946708
320	12	47.975
321	25	47.9034267912773
322	100	48.0652173913044
323	100	48.2260061919505
324	25	48.1543209876543
325	25	48.0830769230769
326	25	48.0122699386503
327	144	48.3058103975535
328	113	48.5030487804878
329	51	48.5106382978723
330	113	48.7060606060606
331	25	48.6344410876133
332	113	48.828313253012
333	113	49.021021021021
334	69	49.0808383233533
335	69	49.1402985074627
336	12	49.0297619047619
337	113	49.2195845697329
338	51	49.2248520710059
339	51	49.2300884955752
340	12	49.1205882352941
341	12	49.0117302052786
342	126	49.2368421052632
343	126	49.4606413994169
344	33	49.4127906976744
345	126	49.6347826086957
346	33	49.5867052023121
347	126	49.806916426513
348	33	49.7586206896552
349	33	49.7106017191977
350	82	49.8028571428571
351	82	49.8945868945869
352	20	49.8096590909091
353	126	50.0254957507082
354	33	49.9774011299435
355	33	49.9295774647887
356	33	49.8820224719101
357	33	49.8347338935574
358	33	49.7877094972067
359	51	49.7910863509749
360	20	49.7083333333333
361	46	49.6980609418283
362	20	49.6160220994475
363	46	49.6060606060606
364	95	49.7307692307692
365	95	49.8547945205479
366	95	49.9781420765027
367	46	49.9673024523161
368	20	49.8858695652174
369	20	49.8048780487805
370	46	49.7945945945946
371	46	49.7843665768194
372	20	49.7043010752688
373	20	49.6246648793566
374	46	49.6149732620321
375	46	49.6053333333333
376	108	49.7606382978723
377	64	49.7984084880637
378	108	49.9523809523809
379	59	49.976253298153
380	108	50.1289473684211
381	108	50.2808398950131
382	46	50.2696335078534
383	46	50.2584856396867
384	15	50.1666666666667
385	33	50.1220779220779
386	121	50.3056994818653
387	121	50.4883720930233
388	121	50.6701030927835
389	121	50.8508997429306
390	121	51.0307692307692
391	121	51.2097186700767
392	28	51.1505102040816
393	59	51.1704834605598
394	28	51.1116751269036
395	77	51.1772151898734
396	28	51.1186868686869
397	28	51.0604534005038
398	121	51.2361809045226
399	121	51.4110275689223
400	28	51.3525
401	20	51.2743142144638
402	20	51.1965174129353
403	20	51.1191066997519
404	28	51.0618811881188
405	28	51.0049382716049
406	41	50.9802955665025
407	41	50.955773955774
408	28	50.8995098039216
409	41	50.8753056234719
410	28	50.819512195122
411	134	51.021897810219
412	90	51.1165048543689
413	90	51.2106537530266
414	90	51.304347826087
415	134	51.5036144578313
416	15	51.4158653846154
417	134	51.6139088729017
418	41	51.5885167464115
419	41	51.563245823389
420	41	51.5380952380952
421	41	51.5130641330166
422	41	51.4881516587678
423	33	51.4444444444444
424	15	51.3584905660377
425	59	51.3764705882353
426	15	51.2910798122066
427	54	51.2974238875878
428	103	51.4182242990654
429	103	51.5384615384615
430	103	51.6581395348837
431	41	51.6334106728538
432	116	51.7824074074074
433	28	51.7274826789838
434	28	51.6728110599078
435	28	51.6183908045977
436	116	51.7660550458716
437	116	51.9130434782609
438	54	51.9178082191781
439	54	51.9225512528474
440	116	52.0681818181818
441	28	52.0136054421769
442	116	52.158371040724
443	54	52.1625282167043
444	72	52.2072072072072
445	72	52.2516853932584
446	72	52.2959641255605
447	98	52.3982102908277
448	23	52.3325892857143
449	116	52.4743875278396
450	54	52.4777777777778
451	54	52.4811529933481
452	15	52.3982300884956
453	15	52.3156732891832
454	15	52.2334801762115
455	41	52.2087912087912
456	36	52.1732456140351
457	129	52.3413566739606
458	36	52.3056768558952
459	129	52.4727668845316
460	36	52.4369565217391
461	36	52.4013015184382
462	129	52.5670995670996
463	129	52.732181425486
464	23	52.6681034482759
465	36	52.6322580645161
466	85	52.7017167381974
467	85	52.7708779443255
468	23	52.707264957265
469	23	52.6439232409382
470	129	52.8063829787234
471	129	52.968152866242
472	36	52.9322033898305
473	36	52.8964059196617
474	36	52.8607594936709
475	28	52.8084210526316
476	36	52.7731092436975
477	36	52.7379454926625
478	54	52.7405857740586
479	54	52.7432150313152
480	23	52.68125
481	49	52.6735966735967
482	23	52.6120331950208
483	23	52.5507246376812
484	98	52.6446280991736
485	98	52.7381443298969
486	98	52.8312757201646
487	142	53.0143737166324
488	23	52.952868852459
489	49	52.9447852760736
490	23	52.8836734693878
491	142	53.0651731160896
492	49	53.0569105691057
493	49	53.0486815415821
494	49	53.0404858299595
495	98	53.1313131313131
496	111	53.2479838709677
497	23	53.1871227364185
498	49	53.1787148594378
499	49	53.1703406813627
500	111	53.286
501	111	53.4011976047904
502	67	53.4282868525896
503	67	53.455268389662
504	111	53.5694444444444
505	62	53.5861386138614
506	111	53.699604743083
507	36	53.6646942800789
508	49	53.6555118110236
509	49	53.6463654223969
510	49	53.6372549019608
511	62	53.6536203522505
512	10	53.568359375
513	36	53.5341130604289
514	124	53.6712062256809
515	124	53.8077669902913
